timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
824095595,0.120961,-0.154222,0.505252
824118412,0.123949,-0.154222,0.505252
824140751,0.120961,-0.154222,0.502128
824162662,0.120961,-0.154222,0.505252
824186164,0.120961,-0.157192,0.505252
824210108,0.120961,-0.154222,0.505252
824232654,0.120961,-0.154222,0.505252
824255600,0.117974,-0.154222,0.505252
824278661,0.117974,-0.157192,0.505252
824298887,0.117974,-0.154222,0.505252
824320736,0.114986,-0.154222,0.505252
824343595,0.117974,-0.154222,0.505252
824364721,0.117974,-0.154222,0.505252
824387659,0.114986,-0.154222,0.505252
824410905,0.114986,-0.154222,0.505252
824433594,0.117974,-0.157192,0.505252
824456736,0.114986,-0.157192,0.502128
824479597,0.114986,-0.157192,0.505252
824499601,0.117974,-0.157192,0.505252
824522934,0.117974,-0.157192,0.508375
824545594,0.117974,-0.157192,0.508375
824568727,0.120961,-0.157192,0.505252
824591602,0.123949,-0.154222,0.499004
824612733,0.120961,-0.157192,0.508375
824633594,0.120961,-0.157192,0.505252
824655238,0.126937,-0.154222,0.502128
824675597,0.126937,-0.154222,0.502128
824696722,0.129924,-0.154222,0.505252
824719317,0.129924,-0.154222,0.502128
824740001,0.126937,-0.154222,0.499004
824762660,0.129924,-0.154222,0.505252
824784739,0.129924,-0.157192,0.502128
824808032,0.129924,-0.157192,0.502128
824829594,0.129924,-0.157192,0.502128
824850654,0.129924,-0.157192,0.502128
824872079,0.126937,-0.157192,0.502128
824892736,0.126937,-0.157192,0.502128
824914680,0.129924,-0.154222,0.502128
824936738,0.129924,-0.157192,0.502128
824958659,0.126937,-0.157192,0.505252
824981594,0.126937,-0.157192,0.505252
825002659,0.126937,-0.157192,0.505252
825025594,0.126937,-0.154222,0.502128
825046668,0.123949,-0.157192,0.505252
825067696,0.123949,-0.154222,0.505252
825088946,0.123949,-0.154222,0.508375
825110455,0.123949,-0.157192,0.505252
825133594,0.123949,-0.157192,0.508375
825154669,0.123949,-0.160163,0.505252
825176724,0.123949,-0.160163,0.505252
825198658,0.123949,-0.160163,0.502128
825220760,0.120961,-0.160163,0.502128
825244729,0.123949,-0.157192,0.505252
825268545,0.126937,-0.157192,0.499004
825289752,0.123949,-0.157192,0.502128
825312889,0.123949,-0.154222,0.505252
825335645,0.123949,-0.154222,0.505252
825356784,0.126937,-0.154222,0.502128
825378659,0.126937,-0.154222,0.505252
825398676,0.126937,-0.154222,0.502128
825420783,0.126937,-0.154222,0.502128
825444569,0.126937,-0.154222,0.502128
825465740,0.126937,-0.154222,0.502128
825488888,0.129924,-0.151252,0.502128
825512886,0.129924,-0.154222,0.502128
825534681,0.132912,-0.154222,0.499004
825556739,0.129924,-0.154222,0.505252
825578674,0.129924,-0.151252,0.505252
825601314,0.132912,-0.151252,0.502128
825622665,0.129924,-0.151252,0.502128
825645145,0.132912,-0.151252,0.502128
825669068,0.129924,-0.151252,0.502128
825692990,0.129924,-0.151252,0.505252
825717072,0.132912,-0.151252,0.502128
825741169,0.132912,-0.151252,0.505252
825765069,0.132912,-0.151252,0.505252
825786662,0.129924,-0.151252,0.502128
825807646,0.129924,-0.151252,0.502128
825829102,0.132912,-0.151252,0.499004
825849664,0.132912,-0.148281,0.505252
825870712,0.129924,-0.151252,0.502128
825891646,0.132912,-0.151252,0.502128
825913994,0.135899,-0.151252,0.499004
